ethn.wife,ethn.husband,age.wife,Freq,city
Russian,Russian,>50,46445,Kazan
Russian,Russian,36-50,51379,Kazan
Russian,Russian,16-35,44155,Kazan
Russian,Tatar,>50,4963,Kazan
Russian,Tatar,36-50,9747,Kazan
Russian,Tatar,16-35,11785,Kazan
Russian,Chuvash,>50,398,Kazan
Russian,Chuvash,36-50,522,Kazan
Russian,Chuvash,16-35,351,Kazan
Russian,other,>50,1490,Kazan
Russian,other,36-50,1648,Kazan
Russian,other,16-35,1488,Kazan
Tatar,Russian,>50,5906,Kazan
Tatar,Russian,36-50,9782,Kazan
Tatar,Russian,16-35,11047,Kazan
Tatar,Tatar,>50,35146,Kazan
Tatar,Tatar,36-50,45264,Kazan
Tatar,Tatar,16-35,40788,Kazan
Tatar,Chuvash,>50,124,Kazan
Tatar,Chuvash,36-50,210,Kazan
Tatar,Chuvash,16-35,176,Kazan
Tatar,other,>50,593,Kazan
Tatar,other,36-50,1123,Kazan
Tatar,other,16-35,1055,Kazan
Chuvash,Russian,>50,144,Kazan
Chuvash,Russian,36-50,243,Kazan
Chuvash,Russian,16-35,131,Kazan
Chuvash,Tatar,>50,29,Kazan
Chuvash,Tatar,36-50,96,Kazan
Chuvash,Tatar,16-35,54,Kazan
Chuvash,Chuvash,>50,86,Kazan
Chuvash,Chuvash,36-50,118,Kazan
Chuvash,Chuvash,16-35,65,Kazan
Chuvash,other,>50,14,Kazan
Chuvash,other,36-50,26,Kazan
Chuvash,other,16-35,23,Kazan
other,Russian,>50,274,Kazan
other,Russian,36-50,395,Kazan
other,Russian,16-35,271,Kazan
other,Tatar,>50,115,Kazan
other,Tatar,36-50,169,Kazan
other,Tatar,16-35,141,Kazan
other,Chuvash,>50,9,Kazan
other,Chuvash,36-50,8,Kazan
other,Chuvash,16-35,4,Kazan
other,other,>50,357,Kazan
other,other,36-50,283,Kazan
other,other,16-35,249,Kazan
